model,metric_a,metric_b,spearman_rho
Gemma-3-4B-it,BERT,ROUGE,0.945
Gemma-3-4B-it,BERT,MEDCON,0.689
Gemma-3-4B-it,BERT,Numeric,0.267
Gemma-3-4B-it,BERT,NLImean,-0.222
Gemma-3-4B-it,ROUGE,MEDCON,0.741
Gemma-3-4B-it,ROUGE,Numeric,0.273
Gemma-3-4B-it,ROUGE,NLImean,-0.049
Gemma-3-4B-it,MEDCON,Numeric,0.312
Gemma-3-4B-it,MEDCON,NLImean,0.115
Gemma-3-4B-it,Numeric,NLImean,-0.028
Phi-4-mini-instruct,BERT,ROUGE,0.838
Phi-4-mini-instruct,BERT,MEDCON,0.411
Phi-4-mini-instruct,BERT,Numeric,0.177
Phi-4-mini-instruct,BERT,NLImean,-0.187
Phi-4-mini-instruct,ROUGE,MEDCON,0.462
Phi-4-mini-instruct,ROUGE,Numeric,0.309
Phi-4-mini-instruct,ROUGE,NLImean,-0.038
Phi-4-mini-instruct,MEDCON,Numeric,0.021
Phi-4-mini-instruct,MEDCON,NLImean,0.149
Phi-4-mini-instruct,Numeric,NLImean,-0.021
Qwen-MediCare-BD,BERT,ROUGE,0.872
Qwen-MediCare-BD,BERT,MEDCON,0.617
Qwen-MediCare-BD,BERT,Numeric,-0.117
Qwen-MediCare-BD,BERT,NLImean,-0.281
Qwen-MediCare-BD,ROUGE,MEDCON,0.736
Qwen-MediCare-BD,ROUGE,Numeric,0.129
Qwen-MediCare-BD,ROUGE,NLImean,-0.315
Qwen-MediCare-BD,MEDCON,Numeric,0.136
Qwen-MediCare-BD,MEDCON,NLImean,-0.311
Qwen-MediCare-BD,Numeric,NLImean,-0.189
