input_id,model,quant_level,condition,precision,n_pairs,mean_mean,elapsed_seconds
MAIN-001,Qwen-MediCare-BD,Q6_K,GOLD,fp32,190,0.2064496660528831,165.85
MAIN-001,Qwen-MediCare-BD,Q5_K_M,GOLD,fp32,190,0.20611355515681212,223.53
MAIN-001,Qwen-MediCare-BD,Q4_K_M,GOLD,fp32,190,0.1838676291709696,201.46
MAIN-001,Qwen-MediCare-BD,Q3_K_M,GOLD,fp32,190,0.22780629648894155,741.98
MAIN-002,Qwen-MediCare-BD,Q6_K,GOLD,fp32,190,0.15408936357643355,86.82
MAIN-002,Qwen-MediCare-BD,Q5_K_M,GOLD,fp32,190,0.13217238282036586,130.59
MAIN-002,Qwen-MediCare-BD,Q4_K_M,GOLD,fp32,190,0.1607319012449745,135.66
MAIN-002,Qwen-MediCare-BD,Q3_K_M,GOLD,fp32,190,0.12467916009152522,183.6
MAIN-001,Qwen-MediCare-BD,Q6_K,PROD,fp16,60,0.20564336271075803,19.46
MAIN-001,Qwen-MediCare-BD,Q5_K_M,PROD,fp16,60,0.20380129425959273,25.01
MAIN-001,Qwen-MediCare-BD,Q4_K_M,PROD,fp16,60,0.17640139365202354,22.36
MAIN-001,Qwen-MediCare-BD,Q3_K_M,PROD,fp16,60,0.24489848130719521,91.23
MAIN-002,Qwen-MediCare-BD,Q6_K,PROD,fp16,60,0.15575810524232594,9.29
MAIN-002,Qwen-MediCare-BD,Q5_K_M,PROD,fp16,60,0.14834450454549575,14.2
MAIN-002,Qwen-MediCare-BD,Q4_K_M,PROD,fp16,60,0.1521982646874184,17.26
MAIN-002,Qwen-MediCare-BD,Q3_K_M,PROD,fp16,60,0.11981850362119378,17.65
