input_id,model,quant_level,condition,precision,n_pairs,mean_mean,q90_mean,max_mean,elapsed_seconds
MAIN-001,Qwen-MediCare-BD,Q3_K_M,GOLD,fp32,190,0.22780629648894155,0.6285193498339343,0.8258646047055391,764.35
MAIN-001,Qwen-MediCare-BD,Q3_K_M,DIAG_fp32_60,fp32,60,0.24496882495358654,0.6693736352977722,0.8490280583454475,274.11
MAIN-002,Qwen-MediCare-BD,Q3_K_M,GOLD,fp32,190,0.12467916009152522,0.33167405257880883,0.4886941150562724,184.81
MAIN-002,Qwen-MediCare-BD,Q3_K_M,DIAG_fp32_60,fp32,60,0.11984465848293821,0.3262354484396372,0.47671520365985914,49.48
MAIN-003,Qwen-MediCare-BD,Q3_K_M,GOLD,fp32,190,0.23980866066380047,0.4059179675152676,0.49134977410234815,218.19
MAIN-003,Qwen-MediCare-BD,Q3_K_M,DIAG_fp32_60,fp32,60,0.24036040395551433,0.4214928595257431,0.5245362327649825,76.36
MAIN-001,Gemma-3-4B-it,Q3_K_M,GOLD,fp32,190,0.20796446993477807,0.8061077355066363,0.9747092281788349,1084.96
MAIN-003,Gemma-3-4B-it,Q3_K_M,GOLD,fp32,190,0.16796118161126888,0.6810334057120765,0.9603824948955199,1166.11
MAIN-004,Gemma-3-4B-it,Q3_K_M,GOLD,fp32,190,0.21786658901032985,0.714731555162647,0.9406777761411758,470.31
MAIN-001,Phi-4-mini-instruct,Q4_K_M,GOLD,fp32,190,0.08202262595198531,0.24608467432707626,0.4480797206632405,212.08
MAIN-002,Phi-4-mini-instruct,Q4_K_M,GOLD,fp32,190,0.08822563101473302,0.24849061481411888,0.5059771509566114,352.31
MAIN-003,Phi-4-mini-instruct,Q4_K_M,GOLD,fp32,190,0.08012242660745209,0.21381544531186225,0.3469824967666007,158.25
MAIN-001,Qwen-MediCare-BD,Q3_K_M,PROD,fp16,60,0.24489848130719521,0.6691930910000269,0.8490213693509961,93.59
MAIN-002,Qwen-MediCare-BD,Q3_K_M,PROD,fp16,60,0.11981850362119378,0.3261613497800418,0.47666528807961994,17.11
MAIN-003,Qwen-MediCare-BD,Q3_K_M,PROD,fp16,60,0.24042345452454303,0.42162176679671987,0.524733421320007,29.63
MAIN-001,Gemma-3-4B-it,Q3_K_M,PROD,fp16,60,0.20735076782500225,0.7987074526203163,0.9717463968788019,121.1
MAIN-003,Gemma-3-4B-it,Q3_K_M,PROD,fp16,60,0.17177504991791978,0.6954187438822375,0.9593522417003058,126.78
MAIN-004,Gemma-3-4B-it,Q3_K_M,PROD,fp16,60,0.22365277250149912,0.7329508168339068,0.9464006930922999,51.24
MAIN-001,Phi-4-mini-instruct,Q4_K_M,PROD,fp16,60,0.0908721365239282,0.27765193088174217,0.49331353620464935,24.74
MAIN-002,Phi-4-mini-instruct,Q4_K_M,PROD,fp16,60,0.07849409298557293,0.2265783357613696,0.4656601521585341,35.86
MAIN-003,Phi-4-mini-instruct,Q4_K_M,PROD,fp16,60,0.07522803546798115,0.2085830318186434,0.35499974884924235,18.06
