pair_id,model,quant_level,pair_max_mean,pair_mean_mean,pair_q90_mean,consensus
P01,Gemma-3-4B-it,Q3_K_M,0.9767193072775135,0.17691615451937137,0.646955769248631,2.0
P02,Gemma-3-4B-it,Q3_K_M,0.9470842149522569,0.11641624142900545,0.39940893006952194,3.0
P03,Gemma-3-4B-it,Q3_K_M,0.9964349043996711,0.19845637828111645,0.7661384160895096,1.0
P04,Gemma-3-4B-it,Q3_K_M,0.8425778132105022,0.12151453120420591,0.5019191302013102,1.0
P05,Gemma-3-4B-it,Q3_K_M,0.9398019891036185,0.17481510775131093,0.7074226285700211,1.0
P06,Gemma-3-4B-it,Q4_K_M,0.9989978155453523,0.24954966514900526,0.8386363685756608,1.0
P07,Gemma-3-4B-it,Q4_K_M,0.9699893527560763,0.22846824779278702,0.686083447933197,1.0
P08,Gemma-3-4B-it,Q4_K_M,0.9771580947072882,0.20244161112903183,0.7612655059151028,2.0
P09,Gemma-3-4B-it,Q4_K_M,0.9120981069711538,0.1617728793850312,0.5573098014868225,3.0
P10,Gemma-3-4B-it,Q4_K_M,0.7334394137064616,0.10627156748916164,0.3748039010799292,4.0
P11,Gemma-3-4B-it,Q5_K_M,0.9432859214353355,0.20442283037420994,0.7171130655131817,1.0
P12,Gemma-3-4B-it,Q5_K_M,0.9984434420469577,0.23824571250450047,0.7694704994322763,1.0
P13,Gemma-3-4B-it,Q5_K_M,0.9636864563965961,0.22668961904414456,0.8231199871211632,1.0
P14,Gemma-3-4B-it,Q5_K_M,0.7833832466241085,0.11150096695531499,0.39297718071576326,3.0
P15,Gemma-3-4B-it,Q5_K_M,0.9445327197804171,0.20877946545096004,0.6650781217275881,2.0
P16,Gemma-3-4B-it,Q6_K,0.999836109302662,0.38465856797533277,0.9442637266936126,1.0
P17,Gemma-3-4B-it,Q6_K,0.9777619735054348,0.20204192760536033,0.7594825081203295,1.0
P18,Gemma-3-4B-it,Q6_K,0.9976106770833333,0.23606380999088286,0.9101758829752605,1.0
P19,Gemma-3-4B-it,Q6_K,0.9783010857939474,0.21064052824895085,0.7945588872052621,1.0
P20,Gemma-3-4B-it,Q6_K,0.9607193166559393,0.2597103918140585,0.8066125141490592,1.0
P21,Phi-4-mini-instruct,Q3_K_M,0.5913828185626439,0.09211780804963339,0.278491780800479,4.0
