effect_size,power,ci_lo,ci_hi,n_rejections,n_sims
0.0,0.046,0.036818911437089825,0.05518108856291017,92,2000
0.05,0.0965,0.083558971053274,0.109441028946726,193,2000
0.1,0.2135,0.19554070117738445,0.23145929882261554,427,2000
0.15,0.43,0.40830234851418246,0.45169765148581753,860,2000
0.2,0.641,0.6199759048898651,0.6620240951101349,1282,2000
0.25,0.8125,0.7953938059463831,0.8296061940536169,1625,2000
0.3,0.9335,0.9225803414796981,0.9444196585203019,1867,2000
0.4,0.997,0.9946031035066153,0.9993968964933847,1994,2000
0.5,1.0,1.0,1.0,2000,2000
0.7,1.0,1.0,1.0,2000,2000
