model,metric,quant_a,quant_b,n_patients,median_a,median_b,median_diff_a_minus_b,bca_ci_lo,bca_ci_hi,ci_method,ci_excludes_zero,wilcoxon_W,wilcoxon_p,alternative,effect_r_rb,n_nonzero_diffs,higher_is_better,omnibus_gated,p_holm,significant_05,sig_ci_agreement
Gemma-3-4B-it,bertscore_f1_mean,Q6_K,Q5_K_M,91,0.7829357639739388,0.775991372999392,0.0032799770957544494,-5.330568865724583e-05,0.009095012200506125,bca,False,2515.0,0.0474363107256302,greater,0.2016244624940277,91,True,False,0.0474363107256302,True,False
Gemma-3-4B-it,bertscore_f1_mean,Q6_K,Q4_K_M,91,0.7829357639739388,0.7696880503704674,0.01339307929340161,0.004526621416995336,0.02013335133853711,bca,True,3038.0,9.192923101939363e-05,greater,0.451505016722408,91,True,False,0.0003677169240775745,True,True
Gemma-3-4B-it,bertscore_f1_mean,Q6_K,Q3_K_M,91,0.7829357639739388,0.7619801913437091,0.020915892877076736,0.01783144975963391,0.026194737459483863,bca,True,3757.0,2.259846828938937e-11,greater,0.7950310559006211,91,True,False,1.3559080973633621e-10,True,True
Gemma-3-4B-it,bertscore_f1_mean,Q5_K_M,Q4_K_M,91,0.775991372999392,0.7696880503704674,0.006915232068613886,0.0020820476506886454,0.014487460412477171,bca,True,2788.0,0.002972999000089126,greater,0.3320592451027234,91,True,False,0.005945998000178252,True,True
Gemma-3-4B-it,bertscore_f1_mean,Q5_K_M,Q3_K_M,91,0.775991372999392,0.7619801913437091,0.016499155446102698,0.007740047730897537,0.019281386701684222,bca,True,3610.0,9.617240095375245e-10,greater,0.7247969421882465,91,True,False,4.808620047687622e-09,True,True
Gemma-3-4B-it,bertscore_f1_mean,Q4_K_M,Q3_K_M,91,0.7696880503704674,0.7619801913437091,0.00785170950387648,0.0021111083658117424,0.017100917469131036,bca,True,3000.0,0.00016545276982659536,greater,0.43334925943621594,91,True,False,0.0004963583094797861,True,True
Phi-4-mini-instruct,bertscore_f1_mean,Q6_K,Q5_K_M,100,0.6625124264704554,0.6530172396647302,0.009680236876010884,0.0067845849614394105,0.013062417899307455,bca,True,4130.0,1.709416737415483e-08,greater,0.6356435643564357,100,True,False,6.837666949661932e-08,True,True
Phi-4-mini-instruct,bertscore_f1_mean,Q6_K,Q4_K_M,100,0.6625124264704554,0.6503380880544061,0.010155902567662689,0.007515645340869348,0.013547196356873792,bca,True,4514.0,3.992180718797267e-12,greater,0.7877227722772278,100,True,False,2.39530843127836e-11,True,True
Phi-4-mini-instruct,bertscore_f1_mean,Q6_K,Q3_K_M,100,0.6625124264704554,0.6553901739810643,0.01308299946157554,0.009843665361404463,0.017481976590658477,bca,True,4176.0,6.86692975947414e-09,greater,0.6538613861386139,100,True,False,3.43346487973707e-08,True,True
Phi-4-mini-instruct,bertscore_f1_mean,Q5_K_M,Q4_K_M,100,0.6530172396647302,0.6503380880544061,0.003955312779075237,-0.0008276156688991065,0.007252647531659939,bca,False,3105.0,0.02306354941102481,greater,0.2297029702970297,100,True,False,0.04612709882204962,True,False
Phi-4-mini-instruct,bertscore_f1_mean,Q5_K_M,Q3_K_M,100,0.6530172396647302,0.6553901739810643,0.0054235413670539745,0.0009615490311070118,0.00895529922686128,bca,True,3163.0,0.014130245493692524,greater,0.2526732673267327,100,True,False,0.04239073648107757,True,True
