model,quant_level,metric,count,mean,median,std
Gemma-3-4B-it,Q3_K_M,bertscore_f1_mean,91,0.76491496890226,0.7619801913437091,0.030427789010335406
Gemma-3-4B-it,Q4_K_M,bertscore_f1_mean,100,0.7798009573409432,0.7768298873775884,0.03532355441843968
Gemma-3-4B-it,Q5_K_M,bertscore_f1_mean,100,0.7879271319376098,0.7831733399315884,0.03899382782581604
Gemma-3-4B-it,Q6_K,bertscore_f1_mean,100,0.7889499286256338,0.7878504147655085,0.0327758526190661
Phi-4-mini-instruct,Q3_K_M,bertscore_f1_mean,100,0.6535506215236688,0.6553901739810643,0.0225834742913034
Phi-4-mini-instruct,Q4_K_M,bertscore_f1_mean,100,0.65320719175276,0.6503380880544061,0.024850443695416592
Phi-4-mini-instruct,Q5_K_M,bertscore_f1_mean,100,0.6557808643403458,0.6530172396647302,0.02636299369916757
Phi-4-mini-instruct,Q6_K,bertscore_f1_mean,100,0.6658268848267216,0.6625124264704554,0.025339626082067718
Qwen-MediCare-BD,Q3_K_M,bertscore_f1_mean,99,0.5654871791548775,0.5632861573445169,0.03573268267300214
Qwen-MediCare-BD,Q4_K_M,bertscore_f1_mean,100,0.6287406073446162,0.6249387144258147,0.03179535255503352
Qwen-MediCare-BD,Q5_K_M,bertscore_f1_mean,100,0.6350675644843202,0.6292682126164437,0.039415890662881196
Qwen-MediCare-BD,Q6_K,bertscore_f1_mean,100,0.6517946210064386,0.6428232141231236,0.0489204905230429
Gemma-3-4B-it,Q3_K_M,rougeL_f1_mean,91,0.44570897738572424,0.4350447267241239,0.07360637206243868
Gemma-3-4B-it,Q4_K_M,rougeL_f1_mean,100,0.48028043949133953,0.4703917706670674,0.07805982983377978
Gemma-3-4B-it,Q5_K_M,rougeL_f1_mean,100,0.5007781587307502,0.4863175063589579,0.08766499205273078
Gemma-3-4B-it,Q6_K,rougeL_f1_mean,100,0.5040999453539134,0.5027502553735911,0.07528041775423072
Phi-4-mini-instruct,Q3_K_M,rougeL_f1_mean,100,0.25347308802749763,0.25494713156979065,0.035974909259549465
Phi-4-mini-instruct,Q4_K_M,rougeL_f1_mean,100,0.24230102466201398,0.2328927355372748,0.039461622338783336
Phi-4-mini-instruct,Q5_K_M,rougeL_f1_mean,100,0.24209353817482696,0.23616620024256985,0.03864374148977062
Phi-4-mini-instruct,Q6_K,rougeL_f1_mean,100,0.25221068957005455,0.2438862889680026,0.040533652335060955
Qwen-MediCare-BD,Q3_K_M,rougeL_f1_mean,99,0.17382643698781589,0.1643427158538561,0.06349015020213077
Qwen-MediCare-BD,Q4_K_M,rougeL_f1_mean,100,0.21387640327773458,0.20497345082669538,0.04423591507150928
Qwen-MediCare-BD,Q5_K_M,rougeL_f1_mean,100,0.21951462994332563,0.20487946474203206,0.07771533345620238
Qwen-MediCare-BD,Q6_K,rougeL_f1_mean,100,0.24874697368057222,0.2302050649526951,0.09556587780778258
Gemma-3-4B-it,Q3_K_M,medcon_f1_mean,91,0.6505688955675447,0.6512206992892698,0.05214688103319735
Gemma-3-4B-it,Q4_K_M,medcon_f1_mean,100,0.6646529577657805,0.6596976608902003,0.0550755856673579
Gemma-3-4B-it,Q5_K_M,medcon_f1_mean,100,0.6816792858542244,0.6828720742719023,0.06401417871405117
Gemma-3-4B-it,Q6_K,medcon_f1_mean,100,0.6833876445541439,0.6814598755752861,0.052480306055779816
Phi-4-mini-instruct,Q3_K_M,medcon_f1_mean,100,0.4088474547922402,0.4047982858497251,0.08451021410160257
Phi-4-mini-instruct,Q4_K_M,medcon_f1_mean,100,0.4271557559141771,0.4246412160303916,0.08438601066639063
Phi-4-mini-instruct,Q5_K_M,medcon_f1_mean,100,0.43389112322338397,0.4345592404304805,0.07829229018572426
Phi-4-mini-instruct,Q6_K,medcon_f1_mean,100,0.4460922067926715,0.4476179268123802,0.07828096693324842
Qwen-MediCare-BD,Q3_K_M,medcon_f1_mean,99,0.29016373503795717,0.2579140516599139,0.11991655775356337
Qwen-MediCare-BD,Q4_K_M,medcon_f1_mean,100,0.33364618206303154,0.3243916224921547,0.06551248722468297
Qwen-MediCare-BD,Q5_K_M,medcon_f1_mean,100,0.32478956368321193,0.3122464406212734,0.08594545899764833
Qwen-MediCare-BD,Q6_K,medcon_f1_mean,100,0.3558140314208065,0.34672701943598827,0.09175976487724033
Gemma-3-4B-it,Q3_K_M,numeric_jaccard_mean,91,0.6452552700817594,0.63859649122807,0.25793764429120725
Gemma-3-4B-it,Q4_K_M,numeric_jaccard_mean,100,0.6378438368648895,0.6161769005847952,0.24368425260060664
Gemma-3-4B-it,Q5_K_M,numeric_jaccard_mean,100,0.6904310253586569,0.706578947368421,0.2643522324234352
Gemma-3-4B-it,Q6_K,numeric_jaccard_mean,100,0.696831468823574,0.7138157894736843,0.2381549280499625
Phi-4-mini-instruct,Q3_K_M,numeric_jaccard_mean,100,0.5964733082706767,0.5784649122807017,0.2585970292760134
Phi-4-mini-instruct,Q4_K_M,numeric_jaccard_mean,100,0.5735271929824561,0.6043859649122807,0.2634230775334368
Phi-4-mini-instruct,Q5_K_M,numeric_jaccard_mean,100,0.5267981968810916,0.5489912280701754,0.2593118801272526
Phi-4-mini-instruct,Q6_K,numeric_jaccard_mean,100,0.5364642230576441,0.5241697994987469,0.25239324482296627
Qwen-MediCare-BD,Q3_K_M,numeric_jaccard_mean,99,0.46295108513187133,0.4631578947368421,0.2733789575268193
Qwen-MediCare-BD,Q4_K_M,numeric_jaccard_mean,100,0.2468283507967589,0.1898581681476418,0.20642134175086838
Qwen-MediCare-BD,Q5_K_M,numeric_jaccard_mean,100,0.18398521575603613,0.1158649537596906,0.17601654575936057
Qwen-MediCare-BD,Q6_K,numeric_jaccard_mean,100,0.2324359273111513,0.17879537859801015,0.2064339598521762
Gemma-3-4B-it,Q3_K_M,nli_contradiction_max_mean,91,0.9282973320149691,0.9467391688941812,0.06927881501342141
Gemma-3-4B-it,Q4_K_M,nli_contradiction_max_mean,100,0.9045394448805688,0.9535691473825576,0.11785354210417745
Gemma-3-4B-it,Q5_K_M,nli_contradiction_max_mean,100,0.9281096051063098,0.9657571466883235,0.08974013893804454
Gemma-3-4B-it,Q6_K,nli_contradiction_max_mean,100,0.9313193507361669,0.9709216198643388,0.09010515756309159
Phi-4-mini-instruct,Q3_K_M,nli_contradiction_max_mean,100,0.4822619981394493,0.4873851984944747,0.17167362133157577
Phi-4-mini-instruct,Q4_K_M,nli_contradiction_max_mean,100,0.4774950397582351,0.48136064408341206,0.15919876120410803
Phi-4-mini-instruct,Q5_K_M,nli_contradiction_max_mean,100,0.5115956503633501,0.5384534781495189,0.15090866831754787
Phi-4-mini-instruct,Q6_K,nli_contradiction_max_mean,100,0.5150764334253695,0.5342687519539877,0.15728585381429014
